scenario_id,algorithm,run_index,seed,penalized_objective,area,volume,total_height,rel_volume_error,rel_height_error,monotonic_violation,feasible,n_evals,time_s,budget,decision_vector
S6,SA,0,0,7783.524582827157,7783.240030172308,70321.03945464626,36.503270452014974,1.4781778246061416e-05,8.960142506776869e-05,0.0,True,10000,0.4082319736480713,10000,"[1.566529262956908, 2.5094414462255146, 2.752110085894943, 3.1064816500323498, 2.7638284673204687, 4.129131251199272, 2.6112687354988484, 5.921647786347727, 7.265029497666274, 3.877802268872661]"
S6,SA,1,1,7855.721847458418,7851.743752585722,70310.11977049039,36.501150946282095,0.00014050383261675508,3.1532774851926934e-05,0.0,True,10000,0.39636993408203125,10000,"[1.2078229072974556, 3.74289553695752, 1.1476888351699375, 3.313598794259655, 5.4502837030854465, 2.820101370746232, 3.8986390887532454, 6.133265391809176, 3.7080544817524044, 5.078800836451019]"
S6,SA,2,2,7786.764699254634,7784.574514553592,70318.90818251851,36.49024698237215,1.5526414696913277e-05,0.00026720596240687887,0.0,True,10000,0.39537882804870605,10000,"[1.8927275197521767, 1.4794140262350692, 4.341698050768631, 3.8681738859631327, 4.349006305212033, 4.601063760545636, 3.26483278318138, 6.202802310439521, 3.5503619665070305, 2.940166373767536]"
S6,SA,3,3,7857.461702337175,7855.390103009103,70324.70369859821,36.492771073045255,6.688991180620326e-05,0.0001980527932806964,0.0,True,10000,0.39492106437683105,10000,"[1.3381417348303097, 3.4708641093796913, 1.499413821322764, 3.814720293235782, 7.788861102596656, 6.758421825975675, 3.163168091896324, 2.339282625811133, 2.305464849101422, 4.014432618895499]"
S6,SA,4,4,7792.247685727381,7791.64190381194,70318.3270781626,36.495322927578485,2.37901285181289e-05,0.0001281389704524671,0.0,True,10000,0.39452314376831055,10000,"[2.055250350759506, 2.118141227170912, 3.2863048530621395, 4.229333107298329, 5.969858503189688, 3.817320355028334, 7.350857930796874, 2.44800424635273, 3.106422821180035, 2.1138295327399392]"
S6,SA,5,5,7826.535438746284,7823.839799210953,70324.99710745763,36.491347968257614,7.106239274219995e-05,0.00023704196554482623,0.0,True,10000,0.39514899253845215,10000,"[1.530600707439234, 3.4058696543175735, 2.097023880898272, 5.762368448913848, 3.7812261909241287, 5.005627918154548, 6.355566029165746, 3.5662286368865446, 2.999062679447877, 1.9877738221098404]"
S6,SA,6,6,7842.8778299424,7837.851250000447,70311.15037776955,36.50908608749553,0.00012584787017140146,0.00024893390398719246,0.0,True,10000,0.3960869312286377,10000,"[2.581673490382059, 1.2646010373609509, 3.4942069070337594, 1.983414263407748, 2.2116344649336863, 5.342833668111973, 6.932758028568582, 3.193569716151024, 4.992606857170853, 4.511787654374894]"
S6,SA,7,7,7893.72253601228,7892.579473177327,70314.68799386955,36.50028195653901,7.554047398251926e-05,7.724836685277807e-06,0.0,True,10000,0.41922426223754883,10000,"[1.2617593152816404, 3.1063467860364304, 2.1585512563921636, 6.202717881709376, 7.668741627834853, 4.201353695409832, 5.847790974472794, 1.7107451797505835, 1.8580878758572783, 2.4841873637940535]"
S6,SA,8,8,7818.252409158902,7813.071236774649,70316.49534628811,36.48557688868296,4.983864778001378e-05,0.0003951537347135188,0.0,True,10000,0.39722204208374023,10000,"[1.1547150706328209, 1.910181053716794, 4.617499166150023, 3.6953661608270982, 2.8476398278319177, 3.060146005132768, 6.520766536699584, 2.9117684038192286, 4.933014314879127, 4.834480348993591]"
S6,SA,9,9,7824.874558125239,7823.800339886017,70325.13849244593,36.50052834525892,7.307298700123882e-05,1.4475212573180613e-05,0.0,True,10000,0.39813804626464844,10000,"[1.1781010852220308, 2.777198990404182, 4.661560848678015, 2.273070351987293, 5.09032478243022, 3.8236448861876338, 5.606282303280729, 5.145980136141537, 2.3035245089504977, 3.6408404519767843]"
S6,PSO,0,10000,7914.6841660584105,7914.470825175557,70320.23927827978,36.49693874576633,3.4027059127320905e-06,8.38699790046906e-05,0.0,True,10000,0.4233090877532959,10000,"[0.8, 2.519504480255065, 2.6830877991387574, 3.2912142859090396, 4.837185322853813, 0.8, 5.947433733892307, 3.860295198595102, 3.7582179251222443, 8.0]"
S6,PSO,1,10001,7947.677347513931,7947.152467369671,70319.15883849227,36.495305514000954,1.1961909950722356e-05,0.00012861605476838613,0.0,True,10000,0.4275519847869873,10000,"[0.8, 3.2738493719578807, 0.8, 8.0, 4.201898402470009, 7.452631828936733, 0.8, 2.778923483919554, 3.950372610373343, 4.43762981634343]"
S6,PSO,2,10002,7863.924219298993,7863.832924088494,70319.11300902629,36.501625164858844,1.26136372825848e-05,4.452506462585411e-05,0.0,True,10000,0.4232299327850342,10000,"[2.6796315279197747, 1.9011077563145544, 2.94720303237711, 3.725154784155907, 0.9024168466344785, 7.118880757981439, 8.0, 3.61154198943539, 2.3365163502530857, 3.2791721197871047]"
S6,PSO,3,10003,7748.485017263268,7748.252004322969,70318.20186515168,36.49786919669459,2.557074585203904e-05,5.83781727510301e-05,0.0,True,10000,0.4236581325531006,10000,"[1.7237412304508657, 2.6503656807759737, 2.8451498511109428, 3.6506282470594997, 4.5949780160481355, 4.355970123171518, 4.0362836116044924, 5.568837574833725, 4.1471822842584904, 2.9247325773809423]"
S6,PSO,4,10004,7840.581219366363,7837.137313502522,70311.44882389421,36.49535234361929,0.00012160375577056312,0.00012733305152635207,0.0,True,10000,0.4246068000793457,10000,"[2.7864582951025003, 1.9076180110807979, 2.516176817135587, 1.6746402403106293, 4.942444695896943, 5.954665922846319, 6.437799800421146, 1.868718259440631, 5.783200046355643, 2.6236302550290898]"
S6,PSO,5,10005,8192.684737988911,8192.15161199878,70320.34115478548,36.49515580845463,4.8514616819902775e-06,0.0001327175765853843,0.0,True,10000,0.4238109588623047,10000,"[0.8, 0.8384391571380482, 8.0, 0.8, 8.0, 5.160820542099934, 1.1124105160530706, 1.2100066753324383, 8.0, 2.573478917831147]"
S6,PSO,6,10006,7786.235620406072,7785.993646765588,70320.18763263471,36.496731604113585,2.668268411716688e-06,8.954509277850619e-05,0.0,True,10000,0.422091007232666,10000,"[2.487674579722713, 2.214001809882328, 3.017352317273863, 1.873874659153845, 4.735388773716356, 4.698137407087758, 6.524622860752397, 4.385364675744822, 3.8350805420276965, 2.7252339787518]"
S6,PSO,7,10007,7926.691663449991,7924.579875382529,70312.88617108073,36.502377233283774,0.00010116366494987153,6.512967900749878e-05,0.0,True,10000,0.434161901473999,10000,"[3.4687459296799994, 0.8, 0.8, 4.602757379200146, 2.8472021492603483, 4.615691089201498, 5.47809518684378, 5.096879973477835, 4.578438917549939, 4.214566608070226]"
